Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Acinetobacter spp.

Summary values with at least 10 BCIs with AST results
"Specimen","PathogenName","AntibioticName","Min","Q1","Median","Q3","Max","CTAsCount","TotalBCIsWithAST"
"Bloodstream","Acinetobacter spp.","Amikacin","BHR","Bahrain","Eastern Mediterranean Region",91,57,62.637362637
"Bloodstream","Acinetobacter spp.","Colistin","BHR","Bahrain","Eastern Mediterranean Region",76,11,14.473684211
"Bloodstream","Acinetobacter spp.","Gentamicin","BHR","Bahrain","Eastern Mediterranean Region",92,61,66.304347826
"Bloodstream","Acinetobacter spp.","Imipenem","BHR","Bahrain","Eastern Mediterranean Region",101,77,76.237623762
"Bloodstream","Acinetobacter spp.","Meropenem","BHR","Bahrain","Eastern Mediterranean Region",101,78,77.227722772
"Bloodstream","Acinetobacter spp.","Minocycline","BHR","Bahrain","Eastern Mediterranean Region",37,8,21.621621622
"Bloodstream","Acinetobacter spp.","Tigecycline","BHR","Bahrain","Eastern Mediterranean Region",56,5,8.928571429
"Bloodstream","Acinetobacter spp.","Amikacin","BIH","Bosnia and Herzegovina","European Region",215,203,94.418604651
"Bloodstream","Acinetobacter spp.","Colistin","BIH","Bosnia and Herzegovina","European Region",67,1,1.492537313
"Bloodstream","Acinetobacter spp.","Gentamicin","BIH","Bosnia and Herzegovina","European Region",217,207,95.391705069
"Bloodstream","Acinetobacter spp.","Imipenem","BIH","Bosnia and Herzegovina","European Region",217,207,95.391705069
"Bloodstream","Acinetobacter spp.","Meropenem","BIH","Bosnia and Herzegovina","European Region",216,206,95.37037037
"Bloodstream","Acinetobacter spp.","Amikacin","BRA","Brazil","Region of the Americas",210,148,70.476190476
"Bloodstream","Acinetobacter spp.","Gentamicin","BRA","Brazil","Region of the Americas",235,139,59.14893617
"Bloodstream","Acinetobacter spp.","Imipenem","BRA","Brazil","Region of the Americas",113,73,64.601769912
"Bloodstream","Acinetobacter spp.","Meropenem","BRA","Brazil","Region of the Americas",213,149,69.953051643
"Bloodstream","Acinetobacter spp.","Amikacin","BRN","Brunei Darussalam","Western Pacific Region",159,26,16.352201258
"Bloodstream","Acinetobacter spp.","Colistin","BRN","Brunei Darussalam","Western Pacific Region",48,3,6.25
"Bloodstream","Acinetobacter spp.","Gentamicin","BRN","Brunei Darussalam","Western Pacific Region",159,73,45.911949686
"Bloodstream","Acinetobacter spp.","Imipenem","BRN","Brunei Darussalam","Western Pacific Region",158,119,75.316455696
"Bloodstream","Acinetobacter spp.","Meropenem","BRN","Brunei Darussalam","Western Pacific Region",159,120,75.471698113
"Bloodstream","Acinetobacter spp.","Amikacin","BTN","Bhutan","South-East Asia Region",16,14,87.5
"Bloodstream","Acinetobacter spp.","Gentamicin","BTN","Bhutan","South-East Asia Region",16,13,81.25
"Bloodstream","Acinetobacter spp.","Imipenem","BTN","Bhutan","South-East Asia Region",10,9,90
"Bloodstream","Acinetobacter spp.","Meropenem","BTN","Bhutan","South-East Asia Region",16,14,87.5
"Bloodstream","Acinetobacter spp.","Gentamicin","CAN","Canada","Region of the Americas",128,3,2.34375
"Bloodstream","Acinetobacter spp.","Meropenem","CAN","Canada","Region of the Americas",66,2,3.03030303
"Bloodstream","Acinetobacter spp.","Amikacin","CHE","Switzerland","European Region",97,10,10.309278351
"Bloodstream","Acinetobacter spp.","Colistin","CHE","Switzerland","European Region",12,0,0
"Bloodstream","Acinetobacter spp.","Gentamicin","CHE","Switzerland","European Region",81,11,13.580246914
"Bloodstream","Acinetobacter spp.","Imipenem","CHE","Switzerland","European Region",107,12,11.214953271
"Bloodstream","Acinetobacter spp.","Meropenem","CHE","Switzerland","European Region",92,10,10.869565217
"Bloodstream","Acinetobacter spp.","Amikacin","CMR","Cameroon","African Region",14,3,21.428571429
"Bloodstream","Acinetobacter spp.","Gentamicin","CMR","Cameroon","African Region",20,8,40
"Bloodstream","Acinetobacter spp.","Imipenem","CMR","Cameroon","African Region",20,6,30
"Bloodstream","Acinetobacter spp.","Amikacin","COD","Democratic Republic of the Congo","African Region",30,14,46.666666667
"Bloodstream","Acinetobacter spp.","Gentamicin","COD","Democratic Republic of the Congo","African Region",33,21,63.636363636
"Bloodstream","Acinetobacter spp.","Imipenem","COD","Democratic Republic of the Congo","African Region",21,16,76.19047619
"Bloodstream","Acinetobacter spp.","Amikacin","COL","Colombia","Region of the Americas",1412,90,6.373937677
"Bloodstream","Acinetobacter spp.","Colistin","COL","Colombia","Region of the Americas",228,11,4.824561404
"Bloodstream","Acinetobacter spp.","Doripenem","COL","Colombia","Region of the Americas",54,8,14.814814815
"Bloodstream","Acinetobacter spp.","Gentamicin","COL","Colombia","Region of the Americas",1267,195,15.390686661
"Bloodstream","Acinetobacter spp.","Imipenem","COL","Colombia","Region of the Americas",1227,282,22.982885086
"Bloodstream","Acinetobacter spp.","Meropenem","COL","Colombia","Region of the Americas",1563,279,17.850287908
"Bloodstream","Acinetobacter spp.","Minocycline","COL","Colombia","Region of the Americas",195,12,6.153846154
"Bloodstream","Acinetobacter spp.","Tigecycline","COL","Colombia","Region of the Americas",567,6,1.058201058
"Bloodstream","Acinetobacter spp.","Amikacin","CYP","Cyprus","European Region",69,54,78.260869565
"Bloodstream","Acinetobacter spp.","Colistin","CYP","Cyprus","European Region",31,12,38.709677419
"Bloodstream","Acinetobacter spp.","Gentamicin","CYP","Cyprus","European Region",122,104,85.245901639
"Bloodstream","Acinetobacter spp.","Imipenem","CYP","Cyprus","European Region",94,81,86.170212766
"Bloodstream","Acinetobacter spp.","Meropenem","CYP","Cyprus","European Region",37,33,89.189189189
"Bloodstream","Acinetobacter spp.","Amikacin","CZE","Czechia","European Region",34,15,44.117647059
"Bloodstream","Acinetobacter spp.","Colistin","CZE","Czechia","European Region",55,1,1.818181818
"Bloodstream","Acinetobacter spp.","Gentamicin","CZE","Czechia","European Region",32,9,28.125
"Bloodstream","Acinetobacter spp.","Imipenem","CZE","Czechia","European Region",43,15,34.88372093
"Bloodstream","Acinetobacter spp.","Meropenem","CZE","Czechia","European Region",46,17,36.956521739
"Bloodstream","Acinetobacter spp.","Amikacin","DEU","Germany","European Region",269,6,2.230483271
"Bloodstream","Acinetobacter spp.","Gentamicin","DEU","Germany","European Region",529,16,3.024574669
