Isolate ID,Realm,Phylum,Class,Order,Family,Genus,Species,ICTV_ID,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Genome coverage,Genome,Host source
VMR1028127,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Chiyouviridae,Wargodvirus,Wargodvirus xiongnu,ICTV202420188,E,Bathyarchaeia bifangarchaeales chiyouvirus 1,BbCV1,,PP467602,Complete genome,dsDNA,archaea
VMR1000002,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Alphalipothrixvirus,Alphalipothrixvirus beppuense,ICTV201908643,E,Sulfolobus filamentous virus 1,SFV1,S48,MH447526,Complete genome,dsDNA,archaea
VMR1000001,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Alphalipothrixvirus,Alphalipothrixvirus umijigokuense,ICTV201908644,E,Sulfolobales Beppu filamentous virus 2,SBFV2,clone B,MK064563,Coding-complete genome,dsDNA,archaea
VMR1000003,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus acidiani,ICTV20094000,E,Acidianus filamentous virus 3,AFV3,,AM087120,Complete genome,dsDNA,archaea
VMR1000008,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus hveragerdiense,ICTV20041365,E,Sulfolobus islandicus filamentous virus,SIFV,,AF440571,Complete genome,dsDNA,archaea
VMR1000005,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus pezzuloense,ICTV20094002,E,Acidianus filamentous virus 7,AFV7,,AM087122,Complete genome,dsDNA,archaea
VMR1000004,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus pozzuoliense,ICTV20094001,E,Acidianus filamentous virus 6,AFV6,,AM087121,Complete genome,dsDNA,archaea
VMR1000006,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus puteoliense,ICTV20094003,E,Acidianus filamentous virus 8,AFV8,,AM087123,Complete genome,dsDNA,archaea
VMR1000007,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus uzonense,ICTV20094004,E,Acidianus filamentous virus 9,AFV9,,EU545650,Complete genome,dsDNA,archaea
VMR1000010,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Deltalipothrixvirus,Deltalipothrixvirus beppuense,ICTV201908645,E,Sulfolobales Beppu filamentous virus 3,SBFV3,clone C,MK064564,Coding-complete genome,dsDNA,archaea
VMR1000009,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Deltalipothrixvirus,Deltalipothrixvirus pozzuoliense,ICTV20084110,E,Acidianus filamentous virus 2,AFV2,,AJ854042,Complete genome,dsDNA,archaea
VMR1000011,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Azorudivirus,Azorudivirus furnasense,ICTV202011720,E,Stygiolobus rod-shaped virus,SRV,,FM164764,Coding-complete genome,dsDNA,archaea
VMR1000013,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Hoswirudivirus,Hoswirudivirus acidiani,ICTV202011717,E,Acidianus rod-shaped virus 3,ARV3,,MN876842,Coding-complete genome,dsDNA,archaea
VMR1000014,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Hoswirudivirus,Hoswirudivirus metallosphaerae,ICTV202011718,E,Metallosphaera rod-shaped virus 1,MRV1,,MN876843,Coding-complete genome,dsDNA,archaea
VMR1000012,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Hoswirudivirus,Hoswirudivirus pozzuoliense,ICTV202011716,E,Acidianus rod-shaped virus 2,ARV2,,KP282675,Coding-complete genome,dsDNA,archaea
VMR1000015,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Hoswirudivirus,Hoswirudivirus saccharolobi,ICTV202011719,E,Saccharolobus solfataricus rod-shaped virus 1,SSRV1,,MN876841,Coding-complete genome,dsDNA,archaea
VMR1000018,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Icerudivirus,Icerudivirus gunnuhverense,ICTV202011709,E,Sulfolobus islandicus rod-shaped virus 3,SIRV3,,KX712143,Coding-complete genome,dsDNA,archaea
VMR1000017,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Icerudivirus,Icerudivirus hveragerdiense,ICTV19991653,E,Sulfolobus islandicus rod-shaped virus 2,SIRV2,,AJ344259,Complete genome,dsDNA,archaea
VMR1000016,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Icerudivirus,Icerudivirus kverkfjoellense,ICTV19972219,E,Sulfolobus islandicus rod-shaped virus 1,SIRV1,,AJ414696,Complete genome,dsDNA,archaea
VMR1000019,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Itarudivirus,Itarudivirus pozzuoliense,ICTV20084855,E,Acidianus rod-shaped virus 1,ARV1,,AJ875026,Coding-complete genome,dsDNA,archaea
VMR1000020,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Japarudivirus,Japarudivirus beppuense,ICTV202011721,E,Sulfolobales Beppu rod-shaped virus 1,SBRV1,,MK064565,Coding-complete genome,dsDNA,archaea
VMR1000021,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Mexirudivirus,Mexirudivirus azufresense,ICTV202011722,E,Sulfolobales Mexican rod-shaped virus 1,SMRV1,,JX944686,Coding-complete genome,dsDNA,archaea
VMR1000022,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus acidum,ICTV202011714,E,Sulfolobus islandicus rod-shaped virus 10,SIRV10,,KY744230,Coding-complete genome,dsDNA,archaea
VMR1000027,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus aestus,ICTV202011713,E,Sulfolobus islandicus rod-shaped virus 9,SIRV9,,KY744228,Coding-complete genome,dsDNA,archaea
VMR1000026,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus caloris,ICTV202011712,E,Sulfolobus islandicus rod-shaped virus 8,SIRV8,,KY744229,Coding-complete genome,dsDNA,archaea
VMR1000023,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus dryadis,ICTV202011715,E,Sulfolobus islandicus rod-shaped virus 11,SIRV11,,KY744234,Coding-complete genome,dsDNA,archaea
VMR1000025,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus nymphense,ICTV202011711,E,Sulfolobus islandicus rod-shaped virus 5,SIRV5,,KY744233,Coding-complete genome,dsDNA,archaea
VMR1000024,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus yellowstonense,ICTV202011710,E,Sulfolobus islandicus rod-shaped virus 4,SIRV4,,KY744231,Coding-complete genome,dsDNA,archaea
VMR1000028,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Ungulaviridae,Captovirus,Captovirus yellowstonense,ICTV20041366,E,Acidianus filamentous virus 1,AFV1,,AJ567472,Complete genome,dsDNA,archaea
VMR1030433,Adnaviria,Taleaviricota,Tokiviricetes,Maximonvirales,Ahmunviridae,Yumkaaxvirus,Yumkaaxvirus juandefucaense,ICTV202522027,E,archaeal virus JdFR077,JdFR077,,PQ111746,Complete genome,dsDNA,archaea
VMR1000029,Adnaviria,Taleaviricota,Tokiviricetes,Maximonvirales,Ahmunviridae,Yumkaaxvirus,Yumkaaxvirus pescaderoense,ICTV202214297,E,Methanophagales virus PBV300,PBV300,,OP413840,Complete genome,dsDNA,archaea
VMR1000030,Adnaviria,Taleaviricota,Tokiviricetes,Primavirales,Tristromaviridae,Alphatristromavirus,Alphatristromavirus pozzuoliense,ICTV20165504,E,Pyrobaculum filamentous virus 1,PFV1,,KU307456,Complete genome,dsDNA,archaea
VMR1000031,Adnaviria,Taleaviricota,Tokiviricetes,Primavirales,Tristromaviridae,Alphatristromavirus,Alphatristromavirus puteoliense,ICTV202012054,E,Pyrobaculum filamentous virus 2,PFV2,,MN876844,Complete genome,dsDNA,archaea
VMR1000032,Adnaviria,Taleaviricota,Tokiviricetes,Primavirales,Tristromaviridae,Betatristromavirus,Betatristromavirus kraflaense,ICTV19871208,E,Thermoproteus tenax virus 1,TTV1,KRA1,X14855,Partial genome (non-compliant),dsDNA,archaea
VMR1000033,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Batravirus,Batravirus ranidallo1,ICTV20093038,E,Lucké tumor herpesvirus; ranid herpesvirus 1,LTHV; RaHV1,McKinnell,DQ665917,Complete genome,dsDNA,vertebrates
VMR1000034,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Batravirus,Batravirus ranidallo2,ICTV20093039,E,frog virus 4; ranid herpesvirus 2,FV4; RaHV2,Rafferty,DQ665652,Complete genome,dsDNA,vertebrates
VMR1000035,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Batravirus,Batravirus ranidallo3,ICTV20175570,E,ranid herpesvirus 3,RaHV3,FO1_2015,KX832224,Complete genome,dsDNA,vertebrates
VMR1000036,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Cyvirus,Cyvirus anguillidallo1,ICTV20115694,E,Japanese eel herpesvirus; anguillid herpesvirus 1,AngHV1,500138,FJ940765,Complete genome,dsDNA,vertebrates
VMR1000037,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Cyvirus,Cyvirus cyprinidallo1,ICTV20093040,E,carp pox herpesvirus; cyprinid herpesvirus 1,CyHV1,NG-J1,JQ815363,Complete genome,dsDNA,vertebrates
VMR1000038,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Cyvirus,Cyvirus cyprinidallo2,ICTV20093041,E,goldfish hematopoietic necrosis virus; cyprinid herpesvirus 2,CyHV2,ST-J1,JQ815364,Complete genome,dsDNA,vertebrates
VMR1000039,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Cyvirus,Cyvirus cyprinidallo3,ICTV20083037,E,koi herpesvirus; cyprinid herpesvirus 3,KHV; CyHV3,KHV-U,DQ657948,Complete genome,dsDNA,vertebrates
VMR1000040,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Ictavirus,Ictavirus acipenseridallo2,ICTV20093043,E,white sturgeon herpesvirus 2; acipenserid herpesvirus 2,AciHV2,SRWSHV,FJ815289,Partial genome (non-compliant),dsDNA,vertebrates
VMR1000041,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Ictavirus,Ictavirus ictaluridallo1,ICTV19981539,E,channel catfish virus; ictalurid herpesvirus 1,CCV; IcHV1,Auburn 1,M75136,Complete genome,dsDNA,vertebrates
VMR1000042,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Ictavirus,Ictavirus ictaluridallo2,ICTV20093045,E,black bullhead herpesvirus; ictalurid herpesvirus 2,IcHV2,760/94,MG271984,Complete genome,dsDNA,vertebrates
VMR1000043,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Salmovirus,Salmovirus salmonidallo1,ICTV20093046,E,herpesvirus salmonis; salmonid herpesvirus 1,SalHV1,Winthrop,AF023673,Partial genome (non-compliant),dsDNA,vertebrates
VMR1000044,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Salmovirus,Salmovirus salmonidallo2,ICTV20093047,E,Oncorhyncus masou herpesvirus; salmonid herpesvirus 2,SalHV2,NeVTA,EU349274,Partial genome (non-compliant),dsDNA,vertebrates
VMR1000045,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Salmovirus,Salmovirus salmonidallo3,ICTV20095288,E,epizootic epitheliotropic disease virus; salmonid herpesvirus 3,SalHV3,Wisconsin epidemic,EU349277,Partial genome (non-compliant),dsDNA,vertebrates
VMR1000046,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Malacoherpesviridae,Aurivirus,Aurivirus haliotidmalaco1,ICTV20125911,E,abalone herpesvirus; haliotid herpesvirus 1,AbHV1; HaHV1,Victoria/AUS/2009,JX453331,Complete genome,dsDNA,invertebrates
VMR1000047,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Malacoherpesviridae,Ostreavirus,Ostreavirus ostreidmalaco1,ICTV20083116,E,oyster herpesvirus; ostreid herpesvirus 1,OHV; OsHV1,,AY509253,Complete genome,dsDNA,invertebrates
VMR1000048,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Iltovirus,Iltovirus cacatuidalpha2,ICTV202214013,E,cacatuid alphaherpesvirus 2,CcAHV2,CaHV2/Melbourne/2015,MK360902,Complete genome,dsDNA,vertebrates
VMR1000049,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Iltovirus,Iltovirus gallidalpha1,ICTV19951033,E,gallid alphaherpesvirus 1; infectious laryngotracheitis virus,GaAHV1; ILTV,SA2,JN596962,Complete genome,dsDNA,vertebrates
VMR1000050,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Iltovirus,Iltovirus psittacidalpha1,ICTV20073819,E,psittacid alphaherpesvirus 1; Pacheco's disease virus,PsAHV1; PDV,97-0001,AY372243,Complete genome,dsDNA,vertebrates
VMR1000051,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Iltovirus,Iltovirus psittacidalpha5,ICTV202214014,E,psittacid alphaherpesvirus 5,PsAHV5,16-4047,MK955929,Complete genome,dsDNA,vertebrates
VMR1000052,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Mardivirus,Mardivirus anatidalpha1,ICTV20115693,E,anatid alphaherpesvirus 1; duck enteritis virus,AnAHV1; DEV,2085,JF999965,Complete genome,dsDNA,vertebrates
VMR1000053,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Mardivirus,Mardivirus columbidalpha1,ICTV20083040,E,columbid alphaherpesvirus 1; pigeon herpesvirus,CoAHV1; PHV,HLJ,KX589235,Complete genome,dsDNA,vertebrates
VMR1000054,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Mardivirus,Mardivirus gallidalpha2,ICTV19981472,E,gallid alphaherpesvirus 2; Marek's disease virus,GaAHV2; MDV,Md5,AF243438,Complete genome,dsDNA,vertebrates
VMR1000055,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Mardivirus,Mardivirus gallidalpha3,ICTV19981473,E,gallid alphaherpesvirus 3; gallid herpesvirus 3,GaAHV3,SB-1,HQ840738,Complete genome,dsDNA,vertebrates
VMR1000056,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Mardivirus,Mardivirus meleagridalpha1,ICTV19951077,E,meleagrid alphaherpesvirus 1; turkey herpesvirus,MeAHV1; HVT,FC-126 (Burmenester),AF291866,Complete genome,dsDNA,vertebrates
VMR1000057,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Mardivirus,Mardivirus spheniscidalpha1,ICTV201856397,E,spheniscid alphaherpesvirus 1,SpAHV1,lib01004,LT608135,Complete genome,dsDNA,vertebrates
VMR1000058,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Scutavirus,Scutavirus chelonidalpha5,ICTV20083054,E,chelonid alphaherpesvirus 5; fibropapilloma-associated turtle herpesvirus,ChAHV5; FPTHV,CH-651-60O9,HQ878327,Partial genome (non-compliant),dsDNA,vertebrates
VMR1000059,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Scutavirus,Scutavirus testudinidalpha3,ICTV201856398,E,testudinid alphaherpesvirus 3; testudinid herpesvirus 3,TeAHV3; TeHV3,1976,KM924292,Complete genome,dsDNA,vertebrates
VMR1000060,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus atelinealpha1,ICTV19951019,E,ateline alphaherpesvirus 1; herpesvirus ateles 1,AtAHV1; HVA1,Lennette,KY385637,Complete genome,dsDNA,vertebrates
VMR1000061,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus bovinealpha2,ICTV19790328,E,bovine alphaherpesvirus 2; bovine mammillitis virus,BoAHV2; BMV,C1Z FZR,MT862163,Complete genome,dsDNA,vertebrates
VMR1000062,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus cercopithecinealpha2,ICTV19951023,E,cercopithecine alphaherpesvirus 2; simian agent 8,CeAHV2; SA8,B264,AY714813,Complete genome,dsDNA,vertebrates
VMR1000063,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus humanalpha1,ICTV19710176,E,human alphaherpesvirus 1; herpes simplex virus 1,HuAHV1; HSV1,17,JN555585,Complete genome,dsDNA,vertebrates
VMR1000064,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus humanalpha2,ICTV19760237,E,human alphaherpesvirus 2; herpes simplex virus 2,HuAHV2; HSV2,HG52,JN561323,Complete genome,dsDNA,vertebrates
VMR1000065,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus leporidalpha4,ICTV20093863,E,leporid alphaherpesvirus 4; leporid herpesvirus 4,LeAHV4; LHV4,LHV4012612,JQ596859,Complete genome,dsDNA,vertebrates
VMR1000066,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus macacinealpha1,ICTV19951015,E,macacine alphaherpesvirus 1; B-virus,McAHV1; BV,E2490,AF533768,Complete genome,dsDNA,vertebrates
VMR1000067,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus macacinealpha2,ICTV202008779,E,macacine alphaherpesvirus 2; lion-tailed macaque herpesvirus 1,McAHV2,8100812,KY628968,Complete genome,dsDNA,vertebrates
VMR1000068,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus macacinealpha3,ICTV202008780,E,macacine alphaherpesvirus 3; pig-tailed macaque herpesvirus 1,McAHV3,KQ,KY628970,Complete genome,dsDNA,vertebrates
VMR1000069,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus macropodidalpha1,ICTV20041256,E,macropodid alphaherpesvirus 1; Parma wallaby herpesvirus,MaAHV1,MaHV1.3076/08,KT594769,Complete genome,dsDNA,vertebrates
VMR1000070,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus macropodidalpha2,ICTV20041257,E,macropodid alphaherpesvirus 2; Dorcopsis wallaby herpesvirus,MaAHV2,V3077/08,MT900475,Complete genome,dsDNA,vertebrates
VMR1000071,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus macropodidalpha4,ICTV202214015,E,macropodid alphaherpesvirus 4,MaAHV4,V3116/09,MT900474,Complete genome,dsDNA,vertebrates
VMR1000072,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus paninealpha3,ICTV20150869,E,panine alphaherpesvirus 3; chimpanzee herpesvirus,PnAHV3; ChHV,105640,JQ360576,Complete genome,dsDNA,vertebrates
VMR1000073,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus papiinealpha2,ICTV19990975,E,papiine alphaherpesvirus 2; herpesvirus papio 2,PaAHV2; HPV2,X313,DQ149153,Complete genome,dsDNA,vertebrates
VMR1000074,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus pteropodidalpha1,ICTV201856395,E,pteropodid alphaherpesvirus 1; fruit bat alphaherpesvirus 1,PtHAV1; FBAHV1,,AB825953,Complete genome,dsDNA,vertebrates
VMR1000075,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus pteropodidalpha2,ICTV202214016,E,pteropodid alphaherpesvirus 2; Pteropus lylei-associated alphaherpesvirus,PtAHV2; PLAHV,,LC492974,Complete genome,dsDNA,vertebrates
VMR1000076,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus saimiriinealpha1,ICTV19951036,E,saimiriine alphaherpesvirus 1; herpesvirus saimiri 1,SaAHV1; HVS1,MV 5-4,HM625781,Complete genome,dsDNA,vertebrates
VMR1000077,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus bovinealpha1,ICTV19870546,E,bovine alphaherpesvirus 1; infectious bovine rhinotracheitis virus,BoAHV1; IBRV,Cooper/NVSL challenge 97-11,JX898220,Complete genome,dsDNA,vertebrates
VMR1000078,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus bovinealpha5,ICTV19951020,E,bovine alphaherpesvirus 5; bovine encephalitis herpesvirus,BoAHV5,SV507/99,AY261359,Complete genome,dsDNA,vertebrates
VMR1000079,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus bubalinealpha1,ICTV19990982,E,bubaline alphaherpesvirus 1; water buffalo herpesvirus,BuAHV1,b6,KU936049,Complete genome,dsDNA,vertebrates
VMR1000080,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus canidalpha1,ICTV19951021,E,canid alphaherpesvirus 1; canine herpesvirus,CaAHV1; CHV,194,KT819633,Complete genome,dsDNA,vertebrates
VMR1000081,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus caprinealpha1,ICTV19951022,E,caprine alphaherpesvirus 1; goat herpesvirus,CpAHV1,E/CH,MG989243,Complete genome,dsDNA,vertebrates
VMR1000082,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus cercopithecinealpha9,ICTV19951026,E,cercopithecine alphaherpesvirus 9; simian varicella virus,CeAHV9; SVV,Delta,AF275348,Complete genome,dsDNA,vertebrates
VMR1000083,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus cervidalpha1,ICTV19951027,E,cervid alphaherpesvirus 1; red deer herpesvirus,CvAHV1,Anlier,MH036942,Complete genome,dsDNA,vertebrates
VMR1000084,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus cervidalpha2,ICTV19951028,E,cervid alphaherpesvirus 2; reindeer herpesvirus,CvAHV2,Norway,MH036943,Complete genome,dsDNA,vertebrates
VMR1000085,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus cervidalpha3,ICTV202009143,E,cervid alphaherpesvirus 3; elk herpesvirus,CvAHV3,Canada,MH036941,Partial genome (non-compliant),dsDNA,vertebrates
VMR1000086,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus equidalpha1,ICTV19790331,E,equid alphaherpesvirus 1; equine abortion virus,EqAHV1; EAV,Ab4,AY665713,Complete genome,dsDNA,vertebrates
VMR1000087,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus equidalpha3,ICTV20041268,E,equid alphaherpesvirus 3; equine coital exanthema virus,EqAHV3,AR/2007/C3A,KM051845,Complete genome,dsDNA,vertebrates
VMR1000088,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus equidalpha4,ICTV19870548,E,equid alphaherpesvirus 4; equine rhinopneumonitis virus,EqAHV4,NS80567,AF030027,Complete genome,dsDNA,vertebrates
VMR1000089,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus equidalpha6,ICTV202214017,E,equid alphaherpesvirus 6; asinine herpesvirus 1,EqAHV6; AsHV1,AsHV/Bari/2011/740,MT012704,Complete genome,dsDNA,vertebrates
VMR1000090,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus equidalpha8,ICTV19951031,E,equid alphaherpesvirus 8; asinine herpesvirus 3,EqAHV8,EHV-8/IR/2003/19,MF431611,Complete genome,dsDNA,vertebrates
VMR1000091,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus equidalpha9,ICTV19990991,E,equid alphaherpesvirus 9; gazelle herpesvirus,EqAHV9,P19,AP010838,Complete genome,dsDNA,vertebrates
VMR1000092,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus felidalpha1,ICTV19951032,E,felid alphaherpesvirus 1; feline viral rhinotracheitis virus,FeAHV1; FVRV,C-27,FJ478159,Complete genome,dsDNA,vertebrates
VMR1000093,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus humanalpha3,ICTV19840518,E,human alphaherpesvirus 3; varicella-zoster virus,HuAHV3; VZV,Dumas,X04370,Complete genome,dsDNA,vertebrates
VMR1000094,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus monodontidalpha1,ICTV201856396,E,monodontid alphaherpesvirus 1; beluga whale alphaherpesvirus 1,MoAHV1,LN3131-1,MF678601,Complete genome,dsDNA,vertebrates
VMR1000095,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus phocidalpha1,ICTV19990994,E,phocid alphaherpesvirus 1; harbour seal herpesvirus,PcAHV1,,MH509440,Partial genome (non-compliant),dsDNA,vertebrates
VMR1000096,Duplodnaviria,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus suidalpha1,ICTV19790332,E,suid alphaherpesvirus 1; pseudorabies virus,SuAHV1; PRV,Kaplan,JF797218,Complete genome,dsDNA,vertebrates
